title,pdf_id,publication_number,organization,scope,unit,issue_date,upsert_date,expiration_date,aux_specific,public_release,pdf_file_name,embedding,gcp_file_id,link,status,status_timestamp,missing_pdf_id,missing_gcp_file_id,duplicate_pdf_id,in_sheet,in_drive,file_name,in_qdrant,record_count,page_count,gcp_file_ids,unique_file_count,zero_record_count,file_ids_match,issues
ALAUX 010/22 UPDATE TO PROHIBITION OF UNMANNED AERIAL SYSTEMS UAS,b10903e2-15c0-5aea-8249-025270104bf1,ALAUX_010_22,CG-BSX,National,,2022-03-09T00:00:00Z,,2032-03-09T00:00:00Z,TRUE,TRUE,010_22_UPDATE_TO_PROHIBITION_OF_UNMANNED_AERIAL_SYSTEMS__UAS_.pdf,text-embedding-ada-002,1AmANt1aTbSHk5FILpkxchz1M1OCFCTDJ,https://drive.google.com/file/d/1AmANt1aTbSHk5FILpkxchz1M1OCFCTDJ,live,,False,False,False,True,True,,True,2,2.0,['1AmANt1aTbSHk5FILpkxchz1M1OCFCTDJ'],1.0,False,True,[]
ALAUX 010/23 AUXILIARY AIRCRAFT FACILITIES WITH CONTINENTAL ENGINES,9bf4932e-d1fd-5bfa-a07a-bc9e620ba445,ALAUX_010_23,CG-BSX,National,,2023-02-28T00:00:00Z,,2033-02-28T00:00:00Z,TRUE,TRUE,010_23_AUXILIARY_AIRCRAFT_FACILITIES_WITH_CONTINENTAL_ENGINES.pdf,text-embedding-ada-002,1b09mF-o1g5oWxiVO4if7L3ChUfwJVzJS,https://drive.google.com/file/d/1b09mF-o1g5oWxiVO4if7L3ChUfwJVzJS,live,,False,False,False,True,True,,True,2,2.0,['1b09mF-o1g5oWxiVO4if7L3ChUfwJVzJS'],1.0,False,True,[]
ALAUX 011/23 STATE OF THE CG ADDRESS,bbce6d6b-68da-50d3-9154-47dcbb3ca1c4,ALAUX_011_23,CG-BSX,National,,2023-03-13T00:00:00Z,,2033-03-13T00:00:00Z,TRUE,TRUE,011_23_STATE_OF_THE_CG_ADDRESS.pdf,text-embedding-ada-002,1fi4b38pIyDOfwO6fCXtcIXXJy4Vr6OIe,https://drive.google.com/file/d/1fi4b38pIyDOfwO6fCXtcIXXJy4Vr6OIe,live,,False,False,False,True,True,,True,2,2.0,['1fi4b38pIyDOfwO6fCXtcIXXJy4Vr6OIe'],1.0,False,True,[]
ALAUX 012/21 AUXDATA II SKILLS AND AVAILABILITY UPDATE,196560ce-db4d-50de-9116-54dfe07a40a7,ALAUX_012_21,CG-BSX,National,,2021-04-25T00:00:00Z,,2031-04-26T00:00:00Z,TRUE,TRUE,012_21_AUXDATA_II_SKILLS_AND_AVAILABILITY_UPDATE.pdf,text-embedding-ada-002,1Xw4l8kF72JmeJtRxjiiFaudONSsPEOX9,https://drive.google.com/file/d/1Xw4l8kF72JmeJtRxjiiFaudONSsPEOX9,live,,False,False,False,True,True,,True,2,2.0,['1Xw4l8kF72JmeJtRxjiiFaudONSsPEOX9'],1.0,False,True,[]
ALAUX 012/22 AUXDATA II SECURITY UPDATES FINAL,42cf6846-5747-5a0d-897a-7dec4f24ff78,ALAUX_012_22,CG-BSX,National,,2022-03-11T00:00:00Z,,2032-03-10T00:00:00Z,TRUE,TRUE,012_22_AUXDATA_II_SECURITY_UPDATES_FINAL.pdf,text-embedding-ada-002,1rlXLWqNHIdNbwFxi30MOBGM_SecPxJCG,https://drive.google.com/file/d/1rlXLWqNHIdNbwFxi30MOBGM_SecPxJCG,live,,False,False,False,True,True,,True,2,2.0,['1rlXLWqNHIdNbwFxi30MOBGM_SecPxJCG'],1.0,False,True,[]
ALAUX 013/13 AUXILIARY POLICY CHANGES 16SEP2013,437857b0-b0a9-5c9f-b458-c850f0ceb2b8,ALAUX_013_13,CG-BSX,National,,2019-11-14T00:00:00Z,,2029-11-13T00:00:00Z,TRUE,TRUE,013_13_AUXILIARY_POLICY_CHANGES___16SEP2013.pdf,text-embedding-ada-002,1J33NiLhWyZ22aeu8zf6OacqnQtvBQEoB,https://drive.google.com/file/d/1J33NiLhWyZ22aeu8zf6OacqnQtvBQEoB,live,,False,False,False,True,True,,True,2,2.0,['1J33NiLhWyZ22aeu8zf6OacqnQtvBQEoB'],1.0,False,True,[]
ALAUX 013/20 NATIONAL BOARD TELEPHONIC ELECTRONIC VOTING,38d587a3-c16a-5320-bbeb-832d16f184ce,ALAUX_013_20,CG-BSX,National,,2020-05-07T00:00:00Z,,2030-05-07T00:00:00Z,TRUE,TRUE,013_20_NATIONAL_BOARD_TELEPHONIC_ELECTRONIC_VOTING.pdf,text-embedding-ada-002,1Hd6gcwvOjuc60rGt0mzeiGM_aP2ZE2Zq,https://drive.google.com/file/d/1Hd6gcwvOjuc60rGt0mzeiGM_aP2ZE2Zq,live,,False,False,False,True,True,,True,3,3.0,['1Hd6gcwvOjuc60rGt0mzeiGM_aP2ZE2Zq'],1.0,False,True,[]
ALAUX 014/21 QUALIFICATION EXAMINER QE CHECK RIDE TASK EXPIRATION DATE EXTENSIONS,a36aab01-6ed4-5039-9f85-094c6c70f3ef,ALAUX_014_21,CG-BSX,National,,2021-05-12T00:00:00Z,,2031-05-12T00:00:00Z,TRUE,TRUE,014_21_QUALIFICATION_EXAMINER__QE__CHECK_RIDE_TASK_EXPIRATION_DATE_EXTENSIONS.pdf,text-embedding-ada-002,1U6A9MHCQhl8hFPOngUJ0qEhqPlRCcFE4,https://drive.google.com/file/d/1U6A9MHCQhl8hFPOngUJ0qEhqPlRCcFE4,live,,False,False,False,True,True,,True,2,2.0,['1U6A9MHCQhl8hFPOngUJ0qEhqPlRCcFE4'],1.0,False,True,[]
ALAUX 014/23 EXPANSION OF COAST GUARD EXCHANGE PRIVILEGES,37b18dd4-e9d5-5d92-ba18-d601297ebdcf,ALAUX_014_23,CG-BSX,National,,2023-04-07T00:00:00Z,,2033-04-06T00:00:00Z,TRUE,TRUE,014_23_EXPANSION_OF_COAST_GUARD_EXCHANGE_PRIVILEGES.pdf,text-embedding-ada-002,1NazmBXnVvvTWj8sfpRCF2LobyR_eIJOP,https://drive.google.com/file/d/1NazmBXnVvvTWj8sfpRCF2LobyR_eIJOP,live,,False,False,False,True,True,,True,1,1.0,['1NazmBXnVvvTWj8sfpRCF2LobyR_eIJOP'],1.0,False,True,[]
ALAUX 015/23 CHDIRAUX FINAL ACTION ON NTRAIN NATIONAL BOARD RECS,b9d01ac4-a504-55c0-9798-c0b62aa27b1a,ALAUX_015_23,CG-BSX,National,,2023-04-20T00:00:00Z,,2033-04-19T00:00:00Z,TRUE,TRUE,015_23_CHDIRAUX_FINAL_ACTION_ON_NTRAIN_NATIONAL_BOARD_RECS.pdf,text-embedding-ada-002,19WX-j3VSFnEmuckKCk43uRGfVmQUNen8,https://drive.google.com/file/d/19WX-j3VSFnEmuckKCk43uRGfVmQUNen8,live,,False,False,False,True,True,,True,8,8.0,['19WX-j3VSFnEmuckKCk43uRGfVmQUNen8'],1.0,False,True,[]
ALAUX 017/13 CHANGE TO AUXOP ELECTIVE COURSES 28DEC2013,3a3c15f5-7072-5aa4-a27c-e8d9f7ef8631,ALAUX_017_13,CG-BSX,National,,2019-11-13T00:00:00Z,,2029-11-12T00:00:00Z,TRUE,TRUE,017_13_CHANGE_TO_AUXOP_ELECTIVE_COURSES___28DEC2013.pdf,text-embedding-ada-002,1Hw7ZuWV5nKPGkipvMylmV4geI21UX6cN,https://drive.google.com/file/d/1Hw7ZuWV5nKPGkipvMylmV4geI21UX6cN,live,,False,False,False,True,True,,True,1,1.0,['1Hw7ZuWV5nKPGkipvMylmV4geI21UX6cN'],1.0,False,True,[]
ALAUX 017/22 AUX SUPPORT OF SW BORDER OPS,d7a80f05-6780-51f7-bbb0-fab6f04e5723,ALAUX_017_22,CG-BSX,National,,2022-06-03T00:00:00Z,,2032-06-03T00:00:00Z,TRUE,TRUE,017_22_AUX_SUPPORT_OF_SW_BORDER_OPS.pdf,text-embedding-ada-002,1k0TGUUTnZZlCqa1EKUJh9o7YyjMKuGeb,https://drive.google.com/file/d/1k0TGUUTnZZlCqa1EKUJh9o7YyjMKuGeb,live,,False,False,False,True,True,,True,5,5.0,['1k0TGUUTnZZlCqa1EKUJh9o7YyjMKuGeb'],1.0,False,True,[]
ALAUX 017/23 AUXILIARY WATERWAYS MANAGEMENT AND FACILITY INSPECTOR QUALIFICATION UPDATE,9efd7711-0f3f-5856-a789-1f07d614a7b5,ALAUX_017_23,CG-BSX,National,,2023-04-22T00:00:00Z,,2033-04-22T00:00:00Z,TRUE,TRUE,017_23_AUXILIARY_WATERWAYS_MANAGEMENT_AND_FACILITY_INSPECTOR__QUALIFICATION_UPDATE.pdf,text-embedding-ada-002,1RfhTSBfVfI0XId3hmfO7-VtkwxsJvlHu,https://drive.google.com/file/d/1RfhTSBfVfI0XId3hmfO7-VtkwxsJvlHu,live,,False,False,False,True,True,,True,2,2.0,['1RfhTSBfVfI0XId3hmfO7-VtkwxsJvlHu'],1.0,False,True,[]
ALAUX 018/20 NATIONAL BOARD MEETING ATTENDANCE ALLOWANCE,bd29ce0d-100f-504a-a5af-41fd320bae1d,ALAUX_018_20,CG-BSX,National,,2020-06-02T00:00:00Z,,2030-06-03T00:00:00Z,TRUE,TRUE,018_20_NATIONAL_BOARD_MEETING_ATTENDANCE_ALLOWANCE.pdf,text-embedding-ada-002,1mr11hLIUoVV5N20k8_3EOZZOSIYUWHQv,https://drive.google.com/file/d/1mr11hLIUoVV5N20k8_3EOZZOSIYUWHQv,live,,False,False,False,True,True,,True,1,1.0,['1mr11hLIUoVV5N20k8_3EOZZOSIYUWHQv'],1.0,False,True,[]
ALAUX 018/22 US COAST GUARD AUXILIARIST SUPPORT TO COAST GUARD HEALTH CARE FACILITIES,51c5b926-ee4a-538f-8870-a1af4577237d,ALAUX_018_22,CG-BSX,National,,2022-06-06T00:00:00Z,,2032-06-05T00:00:00Z,TRUE,TRUE,018_22_US_COAST_GUARD_AUXILIARIST_SUPPORT_TO_COAST_GUARD_HEALTH_CARE_FACILITIES.pdf,text-embedding-ada-002,18js2NgU_q_Sb1qdEZWwPBg2Gdohx72wa,https://drive.google.com/file/d/18js2NgU_q_Sb1qdEZWwPBg2Gdohx72wa,live,,False,False,False,True,True,,True,2,2.0,['18js2NgU_q_Sb1qdEZWwPBg2Gdohx72wa'],1.0,False,True,[]
ALAUX 018/23 AUXILIARY COXSWAIN AND BOAT CREW INITIAL QUALIFICATION WAIVABLE TASK BY DIRAUX POLICY LETTER RELEASED,6b9cb7ef-9099-51a7-8fcd-a6c8f719f518,ALAUX_018_23,CG-BSX,National,,2023-05-17T00:00:00Z,,2033-05-16T00:00:00Z,TRUE,TRUE,018_23_AUXILIARY_COXSWAIN_AND_BOAT_CREW_INITIAL_QUALIFICATION_WAIVABLE_TASK_BY_DIRAUX_POLICY_LETTER_RELEASED.pdf,text-embedding-ada-002,1IbQbnlnMPxR2HMplud9kgl_5ScJ4neWt,https://drive.google.com/file/d/1IbQbnlnMPxR2HMplud9kgl_5ScJ4neWt,live,,False,False,False,True,True,,True,1,1.0,['1IbQbnlnMPxR2HMplud9kgl_5ScJ4neWt'],1.0,False,True,[]
ALAUX 02/17 THE COAST GUARD CULTURE OF RESPECT 17MAR2017,48671341-baf1-5f17-a856-3faf69ee482b,ALAUX_02_17,CG-BSX,National,,2019-10-21T00:00:00Z,,2029-10-20T00:00:00Z,TRUE,TRUE,02_17___THE_COAST_GUARD_CULTURE_OF_RESPECT___17MAR2017.pdf,text-embedding-ada-002,1WGa0L5X55jmhdwMTbJx4XiPznDriKwTF,https://drive.google.com/file/d/1WGa0L5X55jmhdwMTbJx4XiPznDriKwTF,live,,False,False,False,True,True,,True,1,1.0,['1WGa0L5X55jmhdwMTbJx4XiPznDriKwTF'],1.0,False,True,[]
ALAUX 02/18 BASIC QUALIFICATION II BQII COURSE REQUIREMENT FOR NEWLY ENROLLED AUXILIARISTS 01FEB2018,0957be46-9bdd-5e5c-9ee3-88393df1c0fe,ALAUX_02_18,CG-BSX,National,,2019-10-18T00:00:00Z,,2029-10-18T00:00:00Z,TRUE,TRUE,02_18_BASIC_QUALIFICATION_II__BQII__COURSE_REQUIREMENT_FOR_NEWLY_ENROLLED_AUXILIARISTS___01FEB2018.pdf,text-embedding-ada-002,1923b8Jc-2uXTYxmq3Px4Llfk5xNq-X6r,https://drive.google.com/file/d/1923b8Jc-2uXTYxmq3Px4Llfk5xNq-X6r,live,,False,False,False,True,True,,True,1,1.0,['1923b8Jc-2uXTYxmq3Px4Llfk5xNq-X6r'],1.0,False,True,[]
ALAUX 02/19 CHANGES TO AUXILIARY INCIDENT COMMAND SYSTEM ICS CORE TRAINING CG BSX POLICY LETTER 19-02,e3bcc4f2-6eba-591b-9c64-81355b0269cc,ALAUX_02_19,CG-BSX,National,,2019-10-15T00:00:00Z,,2029-10-15T00:00:00Z,TRUE,TRUE,02_19_CHANGES_TO_AUXILIARY_INCIDENT_COMMAND_SYSTEM__ICS__CORE_TRAINING__CG_BSX_POLICY_LETTER_19_02.pdf,text-embedding-ada-002,1sE15M26HlgyLRRwvHHaRkYe29B3EbWGV,https://drive.google.com/file/d/1sE15M26HlgyLRRwvHHaRkYe29B3EbWGV,live,,False,False,False,True,True,,True,1,1.0,['1sE15M26HlgyLRRwvHHaRkYe29B3EbWGV'],1.0,False,True,[]
ALAUX 021/23 OPERATION DRY WATER,0aaa5c4d-8f8d-5ea3-8d45-418441a2f6a3,ALAUX_021_23,CG-BSX,National,,2023-05-25T00:00:00Z,,2033-05-25T00:00:00Z,TRUE,TRUE,021_23_OPERATION_DRY_WATER.pdf,text-embedding-ada-002,1JO9t9S35WtdTBhs4PjdzGHbHX6dHEDPY,https://drive.google.com/file/d/1JO9t9S35WtdTBhs4PjdzGHbHX6dHEDPY,live,,False,False,False,True,True,,True,3,3.0,['1JO9t9S35WtdTBhs4PjdzGHbHX6dHEDPY'],1.0,False,True,[]
ALAUX 023/20 2020 AUXILIARY ELECTION POLICY CHANGES,3e0ed815-0509-5cb2-b7e3-8575ae90ffaf,ALAUX_023_20,CG-BSX,National,,2020-08-25T00:00:00Z,,2030-08-26T00:00:00Z,TRUE,TRUE,023_20_2020_AUXILIARY_ELECTION_POLICY_CHANGES.pdf,text-embedding-ada-002,1ldo-ihzyi_UQ7vIw2NepUqugHxg42CK6,https://drive.google.com/file/d/1ldo-ihzyi_UQ7vIw2NepUqugHxg42CK6,live,,False,False,False,True,True,,True,2,2.0,['1ldo-ihzyi_UQ7vIw2NepUqugHxg42CK6'],1.0,False,True,[]
ALAUX 023/22 CHIEF DIRECTOR FINAL ACTION ON NATIONAL BOARD RECOMMENDATIONS AT NTRAIN 2022,1676ee4b-a2e6-5360-ae46-d8fa440d170b,ALAUX_023_22,CG-BSX,National,,2022-07-25T00:00:00Z,,2032-07-25T00:00:00Z,TRUE,TRUE,023_22_CHIEF_DIRECTOR_FINAL_ACTION_ON_NATIONAL_BOARD_RECOMMENDATIONS_AT_NTRAIN_2022.pdf,text-embedding-ada-002,1LqCaZW3ZK3ElPLqjofuSOne-hwelJC_a,https://drive.google.com/file/d/1LqCaZW3ZK3ElPLqjofuSOne-hwelJC_a,live,,False,False,False,True,True,,True,9,9.0,['1LqCaZW3ZK3ElPLqjofuSOne-hwelJC_a'],1.0,False,True,[]
ALAUX 024/20 2020 EVERYONE IS A RECRUITER INCENTIVE PROGRAM,1a389d4e-a50d-540b-8773-3bcb00edb0b2,ALAUX_024_20,CG-BSX,National,,2020-08-31T00:00:00Z,,2030-08-31T00:00:00Z,TRUE,TRUE,024_20_2020_EVERYONE_IS_A_RECRUITER_INCENTIVE_PROGRAM.pdf,text-embedding-ada-002,1gt39icKyzcYgXvNYr-4SG9Btv_kCCUhJ,https://drive.google.com/file/d/1gt39icKyzcYgXvNYr-4SG9Btv_kCCUhJ,live,,False,False,False,True,True,,True,2,2.0,['1gt39icKyzcYgXvNYr-4SG9Btv_kCCUhJ'],1.0,False,True,[]
ALAUX 024/21 AUXDATA II UPDATE PERSONAL PROTECTIVE EQUIPMENT PPE,dc4658f5-c5d0-5b96-bee7-d12c172aa5c7,ALAUX_024_21,CG-BSX,National,,2021-07-06T00:00:00Z,,2031-07-06T00:00:00Z,TRUE,TRUE,024_21_AUXDATA_II_UPDATE___PERSONAL_PROTECTIVE_EQUIPMENT__PPE_.pdf,text-embedding-ada-002,199WWNZ2QEPszRTLg9mpj4v6cPJPbR6EX,https://drive.google.com/file/d/199WWNZ2QEPszRTLg9mpj4v6cPJPbR6EX,live,,False,False,False,True,True,,True,1,1.0,['199WWNZ2QEPszRTLg9mpj4v6cPJPbR6EX'],1.0,False,True,[]
ALAUX 024/23 WARNING MALICIOUS EMAIL ATTEMPTED PHISHING INVOLVING SF 86 COLLECTION FOR BACKGROUND INVESTIGATIONS,2543aa12-f11a-54df-ab4b-dcf50f992ae8,ALAUX_024_23,CG-BSX,National,,2023-06-07T00:00:00Z,,2033-06-07T00:00:00Z,TRUE,TRUE,024_23_WARNING___MALICIOUS_EMAIL_ATTEMPTED_PHISHING_INVOLVING_SF_86_COLLECTION_FOR_BACKGROUND_INVESTIGATIONS.pdf,text-embedding-ada-002,1YKompagGLi-4JuEWfnCRvyM5GWQ-N9xt,https://drive.google.com/file/d/1YKompagGLi-4JuEWfnCRvyM5GWQ-N9xt,live,,False,False,False,True,True,,True,2,2.0,['1YKompagGLi-4JuEWfnCRvyM5GWQ-N9xt'],1.0,False,True,[]
ALAUX 025/20 MYCG MODERNIZING COAST GUARD ORGANIZATIONAL COMMUNICATIONS,1e7a06ea-62d2-5366-bbb4-8ed45f052f11,ALAUX_025_20,CG-BSX,National,,2020-09-08T00:00:00Z,,2030-09-09T00:00:00Z,TRUE,TRUE,025_20_MYCG___MODERNIZING_COAST_GUARD_ORGANIZATIONAL_COMMUNICATIONS.pdf,text-embedding-ada-002,1W3QI_ixKNdAzXHK095asMTJN_FTZ-zFy,https://drive.google.com/file/d/1W3QI_ixKNdAzXHK095asMTJN_FTZ-zFy,live,,False,False,False,True,True,,True,2,2.0,['1W3QI_ixKNdAzXHK095asMTJN_FTZ-zFy'],1.0,False,True,[]
